block_number,tx_hash,log_index,stakeholder,marketId,indexSet,amount
74996545,0x93c3bae309e8123149b23211103cdb298c7552cea05f1cbd63d18920932cab03,1368,0xcd91a549956854fdc38efad7e80ff5da8f5432b8,0x89c17860246d75b833836f5ef923d9599ee16932b593bee05a9b175d4c1e5200,4095,75000000
74996550,0xccbbfbf7d2f7195ae8b9b7a8ead83d6bc4d48eeb0bf88dacb0afaef112ab8183,689,0x5ecde7348ea5100af4360dd7a6e0a3fb1d420787,0xe14500a62f39f74d657364c5d07f6a9affbe2470d24cbb97adb1e15528b74200,130,999982454
74996623,0x0bd237508641a37d95d317f524dbda7e3aabf416dc375d5b1fcf47f41203efaa,802,0x4c86cdfff0fcff0f6b56a9ddb9f805b4b28f6993,0x8b3d9073b3e38bd51325ee4c556d7729cfdaf7f1c3140ab9abb2d6d34428a000,17,1000000000
74996630,0x94f949ef2f921553d16371382b313ee7ae7b197ff652b97b427011746e0e9a01,582,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0x07a6d1e91364e2625ad1f12fe8360e2cb3dcc995cddc7f277e6622cd804e5c00,95,80000000
74996744,0x2a28a67167af74899239ce750d1028ef7d4befe17c7bbc9c86ad55b32525ae80,461,0x825784480f002247beaf01ed1777a85436ceda02,0xd2c3fa51f46c7bc9c3c9d6af3228a025d384ebebfa7080d62c425ea885d01600,2,4000000000
74996751,0xa1f635922ff1968e6a06c627a660fbf255ce62514ef9f8e58a3189bcbcb04b1d,611,0x2a315a8d15cfde768bcd47ba5cacf3ef5894f2f0,0x89c17860246d75b833836f5ef923d9599ee16932b593bee05a9b175d4c1e5200,1023,10000000
74996786,0xb4e79956659994a5ae066907a1c0eec33647387e8509f076bf773dd849c9b4a9,620,0x21064fd320bfd5a86f8c92a94d3209edf4154dea,0x89c17860246d75b833836f5ef923d9599ee16932b593bee05a9b175d4c1e5200,32,200000000
74996869,0xada6ff2ed20dfb14f1329c21c09a7e73a6a2a20f7db5570b3d2d3bd41bb1787a,529,0xd218e474776403a330142299f7796e8ba32eb5c9,0x289dc66d9938b32cb340a630d13de0a91e3e04e0dc62a219a26a16e6f9cc2600,703,1600000000
74996905,0xa25f3108cecb5f3d70faa7b72bebba87f986f656c4e9d4c6bd6264508572d3f9,420,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0x07a6d1e91364e2625ad1f12fe8360e2cb3dcc995cddc7f277e6622cd804e5c00,95,88000000
74996908,0xdbcaf5df7915e1e183176acf2194a8ab6d9a78d27460001efd292cb5e4cd3179,440,0x490f66ea703fc8fae19fd231c9921e3f4c0c17e5,0xa69729ae3d9838ec5754e0f74bf57dedd5ddbecd9e31b15a04f48f081168ba00,511,150000000
74996929,0x7ccb6633cedbe83c42413639bd013caa9acb7d90c679ddb7901bfd1b72b10fbb,718,0xd218e474776403a330142299f7796e8ba32eb5c9,0x40a82019d6137f329d0c0c994a3588b6439e98a1b4ff69ba9c9b1a83db2b9000,7,2000000000
74996985,0x2ed927b4682614d170e0f915e4c4ae2096a5c0f45ae46bd526807ea394880582,506,0x490f66ea703fc8fae19fd231c9921e3f4c0c17e5,0x289dc66d9938b32cb340a630d13de0a91e3e04e0dc62a219a26a16e6f9cc2600,6,1072987867
74996996,0x736fa6c939dd74ba7f365d249a5a8646dc92d79400b9f963ecfadbdeb36f5277,401,0x21064fd320bfd5a86f8c92a94d3209edf4154dea,0x7224809d383ae72bc56099e3259c59b514fa22f1381de93c939ab11b0ad2f300,4,200000000
74997030,0x4bd00f9e164427cd2333885d9b3cb3e53f04fb975d1f7f1179d1c9442c860fcc,469,0xc3045685168d263ec48a14d236a63b4871c397b4,0xd2c3fa51f46c7bc9c3c9d6af3228a025d384ebebfa7080d62c425ea885d01600,32,500000000
74997032,0x2e4a19f37b4259c1fd6bc4e4fe1df903d20e53f08aee0efe1cd1054e1f47461d,518,0x490f66ea703fc8fae19fd231c9921e3f4c0c17e5,0xa5e70ee6c9d6afd5f88c1c8281a64d659233bf4588785142e5ae07e1dd970600,11,150625291
