block_number,tx_hash,log_index,conditionId,oracle,questionId,outcomeSlotCount,payoutNumerators
74998453,0x99f6f3243c208377e1aff6c6411632537add5527844b7e7ab86f740edb207a53,744,0x480f9c6b11d8a2de904731d74b697c4f8f0903ca77cb3e1bb3e7229f08f082d8,0x58e1745bedda7312c4cddb72618923da1b90efde,0x17617ce081a6b8ffb5d14ce43eab67100a8d3e265e7f3c9bf74c51635d7638b3,2,"[0, 1]"
74998454,0xc75646d387015d5d15711392e0c737e83030eaf54d65d0a14579f8de380305a3,867,0x1b613b6493d3c0c39173100df9eccebc16adcf69b405153eac229896271fb94e,0x58e1745bedda7312c4cddb72618923da1b90efde,0x6afc3960f9aa9e637a812286df7a3263a89fd8df9ffc800060126721186d5c03,2,"[1, 0]"
74998877,0xaa8ee618ad9435bee418bd286de0c26e8132a6031a573cc92c9445a84c51017d,879,0x77f06a1880abd464346c1e6b4478c35ac1231b74a6362fae4c4dff7bc8b3b1f6,0x58e1745bedda7312c4cddb72618923da1b90efde,0x9c5560fac957bfb3e5ec4a4c49e47d27d66a6a1bff42e2704042d6ea755c52c9,2,"[0, 1]"
74998877,0x607721f411875a0df6a87414e55dd07faec428fc683cc7d420f067f68d397996,888,0x3dd9120b5d2f969ed0a3e1ab4c921bf47daf12a9ec7577c6c582745927d916e5,0x58e1745bedda7312c4cddb72618923da1b90efde,0x9a4cc6f2e8ab70e5eaa8f974679327208c2fda3596ba0d518fc400d5f34dc624,2,"[1, 0]"
74999300,0x2da222ac58a38e015638af4811882a63212e8e7951b1ddfb8fb5116bf8e6c99e,541,0x456d18525adf0a568ae1f933a3c2584dc2557cdfc56e4691b41076ca1340e069,0x58e1745bedda7312c4cddb72618923da1b90efde,0xf61637962937969621c32bdad430c70245c64700ed272fc4a23d04cf0d3d2bf6,2,"[0, 1]"
74999300,0x36567291d357588565fe6ee78efc8a9ef57a2ac73b39c95f4e7d89b5fe091420,547,0x7db338b2cdbfd5f0d435066d4b7889de547cb22b72a21132bd4f9ca487a68936,0x58e1745bedda7312c4cddb72618923da1b90efde,0x5644ade7fad2c2d32621b362bb8dfdbd52cb3c45a265061e8ef9ccde5ea7ee06,2,"[0, 1]"
74999317,0x8f9df43044795cbaa150535a857f9ccecf513199e5fca248bd22f166bfff40ea,5,0x558cff8e0cab54e849f9971c07dff2a8dcb23394760221417b7b451d065f2e96,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x0e07bd19b23c1f12d92b6898247e64a978004965d057f6ec56470168a43ff9dd,2,"[0, 1]"
74999317,0x3df9d362d67ce24474e2b25dbc0e001dcfd27915d9e72ff0723833ca9ed36236,10,0x9802fd7af7fc51504a68de0517e366200d30ebd27560b7033f3018b946eb7fc5,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x1318f70a770778aa01a47a321b1c7f2975a7c221bccb59a647390df0dda2d4a8,2,"[0, 1]"
74999318,0x5c324cfd5bd6042efd1aecd746a55d2ffb73b9ed795bd972ab480e2c00029f65,4,0xf252179ed263a1db4bc8a5fecff6595b047c5654c5f8e55db3d0c191c6ac469e,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x2654c77d0162c211d3057dbfbad6b76fbde8adda69e0590d92873e1c83b37ff2,2,"[1, 0]"
74999328,0xdfcecc0299ccd2db861195b38b6e76f8e9187802cf5b12e8919e9d32e2c1d752,39,0x69cc1a7fd27a8da550b2f6fb78d41f1b0379ca729579fffed397e41a4ef86cba,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x154aa7d4f4e5e7dee1604ca6f88c0964a5f0e7f13ec9ffd896b9e12a47a26d01,2,"[0, 1]"
74999347,0x053e818a3c823cb76f887b164b87220261a6033832b3a8fc452dcde60bf760bf,0,0x0281dae553875b5e9fc8a2b55677aeaf5506d6cd822672e476baa038996b1be8,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x0185578673b723e6109827ad9bd223dbc6a63811682b50b11dbeedf431d4d0bd,2,"[0, 1]"
74999724,0x55a25eef77b2a236d251c3ba79d33638b42b59e37179691de8943d1a454516f4,400,0x860eaf5f351562b33ad3508737e953d7430d890e020895dfdb6438ad68371413,0x58e1745bedda7312c4cddb72618923da1b90efde,0x0ab9b8ff2e4b31bb88b3837798fd3ed84ae5ae8b4c3ea72439e022297f86007a,2,"[1, 0]"
74999725,0x01381373c623e8b9c0dc18dd3aba494f18cd495825fb293bb50b96cf57f8888a,497,0xdd1c203caa9b0b7d9faaf9229f97590b3e2714b27f507b25be49efc7af0f1505,0x58e1745bedda7312c4cddb72618923da1b90efde,0x96cd5ad56df78fe14ff5daf1aa1c1ca3e1f8bc08d6425c2788b0937509e45cb8,2,"[1, 0]"
