block_number,tx_hash,log_index,operator,from,to,ids,values
74999011,0x7c1424f914cb68f2449ab379abd0f0e3afae9a4e6a6530e0759a87b09e49aa57,472,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[46779277213599126230120558346857483305790254031083044485517146560119899542406, 62055740682863142512173337338290591221935166579033473435319717410248279647733]","[329050000, 329050000]"
74999011,0x7c1424f914cb68f2449ab379abd0f0e3afae9a4e6a6530e0759a87b09e49aa57,480,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[46779277213599126230120558346857483305790254031083044485517146560119899542406, 62055740682863142512173337338290591221935166579033473435319717410248279647733]","[96950000, 96950000]"
74999011,0xa315b978dc967b64c25f620453ebc76a2721ddc17b4f4551f6c2e726abc1afd6,499,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xc5d563a36ae78145c45a50134d48a1215220f80a,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,"[16040015440196279900485035793550429453516625694844857319147506590755961451627, 94476829201604408463453426454480212459887267917122244941405244686637914508323]","[11830000, 11830000]"
74999011,0xa315b978dc967b64c25f620453ebc76a2721ddc17b4f4551f6c2e726abc1afd6,500,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x0000000000000000000000000000000000000000,"[16040015440196279900485035793550429453516625694844857319147506590755961451627, 94476829201604408463453426454480212459887267917122244941405244686637914508323]","[11830000, 11830000]"
74999012,0x7902138dd435b403e74b5f47cddc0325ccc51633d7a2638af0719deccd798cc0,552,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[112483173598866317229836824249132056560800975513976935451520078215788900945353, 20985429954197569958698305130803370735196249847480391235068580072284758773693]","[5000000, 5000000]"
74999012,0xe374512d52834b3f5345d3ffa484027149d2acb0afec0f887a0a50804afa0747,566,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[19313632579619311110327775357290731950442488134700707142382225318901746295057, 64884752137293845215501582090125501955901509923189139676564085768886191651113]","[1298700, 1298700]"
74999012,0x93c5863f2b606b7a7140cfbdaca1685aee0bab49ac362af9ae46939fc5c6ae9d,580,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[46779277213599126230120558346857483305790254031083044485517146560119899542406, 62055740682863142512173337338290591221935166579033473435319717410248279647733]","[5000000, 5000000]"
74999012,0xbb4cebad675e28a6e1ec429b3a78e844fdf9c4be9009cfc7af58821e372f0575,597,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[64023853276447473910717802897235893846036426549936106277274450441829027818528, 72213402545998769711123636766651921655153165755936317649722665600548281920234]","[10000000, 10000000]"
74999013,0x3f520688c1805b63486d69ae8a2c5c5f2d56deaeacd06fb05cda95c1656694a6,443,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[64023853276447473910717802897235893846036426549936106277274450441829027818528, 72213402545998769711123636766651921655153165755936317649722665600548281920234]","[10000000, 10000000]"
74999013,0x8db676066ca094cddbf88161901936e2ab15e6fcfbd5e413180769fd6bdded0f,457,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[64023853276447473910717802897235893846036426549936106277274450441829027818528, 72213402545998769711123636766651921655153165755936317649722665600548281920234]","[30000000, 30000000]"
74999013,0x8db676066ca094cddbf88161901936e2ab15e6fcfbd5e413180769fd6bdded0f,465,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[64023853276447473910717802897235893846036426549936106277274450441829027818528, 72213402545998769711123636766651921655153165755936317649722665600548281920234]","[40000000, 40000000]"
74999013,0x8db676066ca094cddbf88161901936e2ab15e6fcfbd5e413180769fd6bdded0f,473,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0000000000000000000000000000000000000000,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,"[64023853276447473910717802897235893846036426549936106277274450441829027818528, 72213402545998769711123636766651921655153165755936317649722665600548281920234]","[40000000, 40000000]"
